CD1,0.47,100.00,9.0,7.4
CD2,0.13,100.00,0.0,3.0
CD3,0.23,100.00,0.0,5.0
CD4,0.12,100.00,0.0,5.0
CD5,0.18,100.00,0.0,4.0
CD6,1.92,100.00,0.0,7.2
CD7,4.04,100.00,0.0,6.0
LS1,0.24,100.00,0.0,1.0
LS2,0.40,80.00,9.0,4.5
LS3,31.37,100.00,0.0,5.0
LS4,0.13,100.00,0.0,7.0
LS5,10.30,100.00,0.0,6.0
LS6,3.18,70.00,0.0,4.6
LS7,9.97,100.00,0.0,5.0
LD1,0.43,100.00,0.0,2.4
LD2,0.10,100.00,0.0,2.0
LD3,0.11,100.00,0.0,3.3
LD4,0.10,100.00,0.0,3.2
LD5,1.10,100.00,0.0,3.0
LD6,0.86,100.00,0.0,6.2
LD7,2.35,100.00,0.0,4.0
LD8,0.98,70.00,0.0,4.5
LD9,0.04,100.00,0.0,3.0
LD10,0.08,100.00,0.0,3.0
LD11,0.54,100.00,0.0,5.4
