CD1,0.32,90.00,9.0,7.5
CD2,0.08,90.00,0.0,2.9
CD3,0.23,100.00,0.0,5.0
CD4,0.10,100.00,0.0,5.0
CD5,0.14,100.00,0.0,4.0
CD6,1.34,100.00,0.0,7.2
CD7,3.71,100.00,0.0,6.0
LS1,0.19,100.00,0.0,1.0
LS2,0.41,20.00,9.0,8.7
LS3,30.73,100.00,0.0,5.0
LS4,0.10,70.00,0.0,6.7
LS5,8.92,100.00,0.0,6.0
LS6,0.19,50.00,0.0,4.4
LS7,7.77,100.00,0.0,5.0
LD1,0.13,100.00,0.0,2.0
LD2,0.04,100.00,0.0,2.0
LD3,0.05,100.00,0.0,3.1
LD4,0.05,100.00,0.0,3.3
LD5,0.66,100.00,0.0,3.0
LD6,1.14,100.00,0.0,6.0
LD7,0.92,70.00,0.0,3.1
LD8,0.39,50.00,0.0,4.6
LD9,0.03,100.00,0.0,3.0
LD10,0.08,100.00,0.0,3.0
LD11,0.38,100.00,0.0,6.2
