CD1,0.40,90.00,9.0,6.7
CD2,0.09,90.00,0.0,2.8
CD3,0.22,100.00,0.0,5.0
CD4,0.10,90.00,0.0,5.5
CD5,0.11,90.00,0.0,4.1
CD6,1.46,100.00,0.0,7.0
CD7,3.33,100.00,0.0,6.0
LS1,0.22,100.00,0.0,1.0
LS2,0.53,0.00,9.0,9.9
LS3,25.74,100.00,0.0,5.0
LS4,0.03,30.00,0.0,6.3
LS5,9.03,100.00,0.0,6.0
LS6,0.85,40.00,0.0,4.2
LS7,7.75,100.00,0.0,5.0
LD1,0.58,100.00,0.0,2.1
LD2,0.05,100.00,0.0,2.0
LD3,0.04,90.00,0.0,3.7
LD4,0.08,100.00,0.0,2.9
LD5,1.27,100.00,0.0,3.0
LD6,0.76,90.00,0.0,5.2
LD7,0.89,70.00,0.0,2.8
LD8,0.36,40.00,0.0,4.6
LD9,0.03,100.00,0.0,3.0
LD10,0.09,100.00,0.0,3.0
LD11,0.20,100.00,0.0,5.4
