CD1,0.36,20.00,9.0,5.6
CD2,0.05,20.00,0.0,2.1
CD3,6.70,90.00,0.0,4.6
CD4,1.04,100.00,0.0,5.0
CD5,1.03,90.00,0.0,3.7
CD6,7.54,100.00,0.0,7.1
CD7,10.39,70.00,0.0,5.5
LS1,4.52,100.00,0.0,1.0
LS2,1.99,0.00,9.0,10.0
LS3,0.03,0.00,0.0,2.3
LS4,0.07,20.00,0.0,6.1
LS5,0.00,0.00,0.0,4.0
LS6,0.20,40.00,0.0,4.2
LS7,1.97,100.00,0.0,5.0
LD1,0.59,50.00,0.0,0.9
LD2,1.01,100.00,0.0,2.0
LD3,0.02,20.00,0.0,8.1
LD4,0.05,100.00,0.0,2.3
LD5,0.24,90.00,0.0,2.7
LD6,1.09,90.00,0.0,4.8
LD7,1.87,60.00,0.0,2.6
LD8,0.61,40.00,0.0,4.8
LD9,0.05,90.00,0.0,3.1
LD10,0.09,90.00,0.0,2.7
LD11,0.72,100.00,0.0,4.9
