0,CD1,9,7,90,0.499
1,CD2,0,3,1,0.124
2,CD3,0,5,2,0.175
3,CD4,0,5,1,0.108
4,CD5,0,4,2,0.155
5,CD6,0,7,11,1.407
6,CD7,0,6,1,4.298
7,LS1,0,1,1159,0.178
8,LS2,9,3,333,0.19
9,LS3,0,5,9054,36.743
10,LS4,0,7,3,0.311
11,LS5,0,6,393,13.557
12,LS6,0,5,28,0.325
13,LS7,0,5,0,6.962
14,LD1,0,1,309,1.503
15,LD2,0,2,185,0.036
16,LD3,0,2,162,0.037
17,LD4,0,2,50,0.028
18,LD5,0,3,28,0.064
19,LD6,0,6,39,0.271
20,LD7,0,4,1216,2.956
21,LD8,0,5,22,1.123
22,LD9,0,3,1,0.024
23,LD10,0,3,3,0.058
24,LD11,0,5,376,0.091
